,StockName,Beta
0,Nifty50,1.0
1,ADANIENT,1.4200134709973984
2,ADANIPORTS,1.1329669771320137
3,APOLLOHOSP,0.514287365619599
4,ASIANPAINT,0.4908718376644872
5,AXISBANK,1.289860043852313
6,BAJAJ-AUTO,0.8623946026582691
7,BAJAJFINSV,1.0522665564923357
8,BAJFINANCE,1.042019596632042
9,BEL,0.8147161776479327
10,BHARTIARTL,0.8061605861530893
11,BRITANNIA,0.43297193087382674
12,CIPLA,0.5600336783350133
13,COALINDIA,0.8970683218482759
14,DRREDDY,0.4875402693473871
15,EICHERMOT,0.8853392855581362
16,GRASIM,0.9593535959378766
17,HCLTECH,0.8739168348110965
18,HDFCBANK,0.959198195314685
19,HDFCLIFE,0.7809791008545932
20,HEROMOTOCO,0.7634764412328578
21,HINDALCO,1.4067589361418704
22,HINDUNILVR,0.5321006226949155
23,ICICIBANK,1.425738588393108
24,INDUSINDBK,1.4221487112274012
25,INFY,0.6744896318792468
26,ITC,0.5781245228805256
27,JSWSTEEL,1.3834435911039247
28,KOTAKBANK,1.2694468585611123
29,LT,1.2305057332850031
30,M&M,1.1417626935367193
31,MARUTI,0.957344915806771
32,NESTLEIND,0.47392766169159417
33,NTPC,0.7544744687044715
34,ONGC,1.058039372109821
35,POWERGRID,0.7335433093035293
36,RELIANCE,1.0894920175024017
37,SBILIFE,0.7010498823920613
38,SBIN,1.2542773374333884
39,SHRIRAMFIN,1.0145990040751867
40,SUNPHARMA,0.47844508446978695
41,TATACONSUM,0.7899107352129833
42,TATAMOTORS,1.2862732637365515
43,TATASTEEL,1.5656758225453902
44,TCS,0.6230384032207428
45,TECHM,1.0490972376181793
46,TITAN,0.9403310505888118
47,TRENT,0.7072944942656373
48,ULTRACEMCO,0.8386210680556991
49,WIPRO,0.8100771978023645
